date,pnl_1,pnl_2,pnl_3,pnl_4,pnl_5,yearly_pnl,cumulative_pnl,year
2018-11-14,0.0,0.0,0.0,0.0,-194028.89999999997,-194028.89999999997,6801536.349999994,2018
2018-11-15,0.0,0.0,0.0,0.0,12827.400000000256,12827.400000000256,6814363.749999994,2018
2018-11-16,-1000.0,0.0,0.0,0.0,134869.60000000003,133869.60000000003,6948233.349999994,2018
2018-11-19,-3379.449999999897,0.0,0.0,0.0,98796.94999999918,95417.49999999929,7043650.849999993,2018
2018-11-20,8746.799999999874,0.0,-0.0,0.0,49901.800000000774,58648.600000000646,7102299.449999994,2018
2018-11-21,11035.80000000006,0.0,0.0,0.0,90374.8999999998,101410.69999999987,7203710.149999994,2018
2018-11-22,4430.549999999988,0.0,0.0,0.0,-45919.700000000026,-41489.15000000004,7162220.9999999935,2018
2018-11-26,-19492.799999999894,0.0,0.0,0.0,252206.10000000027,232713.30000000037,7394934.299999994,2018
2018-11-27,26905.099999999886,-0.0,0.0,0.0,0.0,26905.099999999886,7421839.399999994,2018
2018-11-28,32993.75000000004,0.0,0.0,0.0,0.0,32993.75000000004,7454833.149999994,2018
2018-11-29,-4222.100000000084,0.0,0.0,0.0,0.0,-4222.100000000084,7450611.049999994,2018
2018-11-30,17905.80000000011,0.0,0.0,0.0,0.0,17905.80000000011,7468516.849999994,2018
2018-12-03,0.0,0.0,0.0,0.0,-0.0,0.0,7468516.849999994,2018
2018-12-04,0.0,-0.0,0.0,-0.0,-0.0,0.0,7468516.849999994,2018
2018-12-05,0.0,0.0,0.0,0.0,0.0,0.0,7468516.849999994,2018
2018-12-06,0.0,0.0,0.0,0.0,0.0,0.0,7468516.849999994,2018
2018-12-07,-0.0,0.0,0.0,0.0,0.0,0.0,7468516.849999994,2018
2018-12-10,0.0,-0.0,0.0,0.0,0.0,0.0,7468516.849999994,2018
2018-12-11,-0.0,0.0,-0.0,-0.0,0.0,0.0,7468516.849999994,2018
2018-12-12,0.0,0.0,0.0,0.0,0.0,0.0,7468516.849999994,2018
2018-12-13,-0.0,-0.0,0.0,-0.0,0.0,0.0,7468516.849999994,2018
2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0,7468516.849999994,2018
2018-12-17,0.0,-0.0,-0.0,-0.0,-0.0,0.0,7468516.849999994,2018
2018-12-18,0.0,0.0,-1000.0,0.0,0.0,-1000.0,7467516.849999994,2018
2018-12-19,0.0,0.0,24912.949999999983,0.0,0.0,24912.949999999983,7492429.799999994,2018
2018-12-20,0.0,-0.0,-52792.39999999991,-0.0,-0.0,-52792.39999999991,7439637.399999995,2018
2018-12-21,0.0,0.0,-145644.5999999998,0.0,0.0,-145644.5999999998,7293992.799999995,2018
2018-12-24,0.0,0.0,-78251.05000000013,0.0,0.0,-78251.05000000013,7215741.749999995,2018
2018-12-26,0.0,0.0,212625.20000000022,0.0,0.0,212625.20000000022,7428366.9499999955,2018
2018-12-27,0.0,0.0,120435.79999999951,0.0,-0.0,120435.79999999951,7548802.749999995,2018
2018-12-28,-0.0,-0.0,112008.0500000002,-0.0,0.0,112008.0500000002,7660810.799999995,2018
2018-12-31,-0.0,0.0,-0.0,-0.0,0.0,0.0,7660810.799999995,2018
